no,code,active,city,country,latitude,locationCode,locationName,longitude,postCode,state,street1,street2,street3,street4,street5
290,CC010290,true,,,-6.97459234061037,6034709901475840-4908809994633216,Bina Citra,107.606453422204,,,Jl. Cisirung,,,,
291,CC010291,true,,,-6.23830034794134,5905920542375936-5666536245166080,Gedung Kementrian Agraria dan Tata Ruang,106.798685421384,,,Jl. Sisingamangaraja,,,,
292,CC010292,true,,,-6.92342666666667,4920416103563264-6327790987116544,Pak Tonny,107.581765,,,Jl. Pagarsih,,,,
293,CC010293,true,,,-6.36464201845821,4835385548996608-6242760432549888,PT Wika Intinusa Niagatama,107.15077274489,,,Jl. Kenari,,,,
294,CC010294,true,,,-6.1997785,5927473728454656-4801573821612032,Shimizu Total JO,106.7693489,,,Jl. Panjang Raya,,,,
295,CC010295,true,,,-6.56580771763443,6300994719711232-5715498335469568,PT. Insuko Jakarta,106.822023310608,,,Pangeran Sogiri,,,,
296,CC010296,true,,,-6.9216293,5160010082418688-6290974829445120,PT Dinamika Pilar Utama,107.6164059,,,Jl. Naripan,,,,
297,CC010297,true,,,-6.24390947555655,5095195368488960-5658145321910272,Aldiron Hero Group,106.840089149978,,,Jl. Gatot Subroto,,,,
298,CC010298,true,,,-6.95705386,5395123873513472-5958073826934784,PT. Mahkota Permata Perdana,107.6282648,,,Gedebage,,,,
299,CC010299,true,,,-6.9145,5516975014936576-5109760575668224,CV.  Griya Loka,107.680966666667,,,Jl. Pesantren,,,,
300,CC010300,true,,,-6.9119448820129,5102464936181760-5665414889603072,PT Total Cakra Alam,107.654167804867,,,Jl. Terusan Jakarta,,,,
301,CC010301,true,,,-6.17856246884912,5164747582341120-5041477725978624,New Location,106.896019801497,,,Jl Pulo Nangka Tengah,,,,
302,CC010302,true,,,-6.27493905834854,5410346177134592-4916235959533568,PT. Mega Power Teknindo,106.725879572332,,,Teuku Umar,,,,
303,CC010303,true,,,-7.35618440899998,5474554059161600-6037504012582912,PT Guna Bangun Lestari,108.114129435271,,,Jl. Raya Bojong Koneng,,,,
304,CC010304,true,,,-6.39905458770499,6045334778150912-4919434871308288,PUPR Depok,106.863672590726,,,Jl. Bogor Raya,,,,
305,CC010305,true,,,-6.56098667532206,5182479807807488-5682370246082560,PT. Cahayasakti Investindo Sukses,106.814499758184,,,Jl. Arzimax 3,,,,
