no,locationCode,nickname
137,5783152693870592-4657252787027968,Nandar
138,6249389244809216-5686439291387904,Nandar
139,4818439050887168-5207786426204160,Nandar
140,5820486026002432-5961223514357760,Nandar
141,4796139178033152-6203514061586432,Nandar
142,5978214035881984-5767956059389952,Nandar
143,5747286126624768-5178637825343488,Nandar
144,6487145480978432-5361245574135808,Nandar
145,6105766645727232-6387241622437888,Nandar
146,6275479426301952-5149579519459328,Nandar
147,5101789351247872-5664739304669184,Nandar
148,4650190350843904-6198302722752512,Nandar
149,5176711935164416-6203514061586432,Nandar
150,5651276696125440-4789259579949056,Nandar
151,5269666368847872-5832616322269184,Nandar
152,5128013112934400-5675685867683840,Nandar
153,5350967247634432-5913917201055744,Nandar
154,new2,Raymond
155,5354843354955776-6151540461010944,Raymond
156,5123639896702976-5144582157238272,Raymond
157,4994252798951424-6401627682504704,Raymond
158,6193847902142464-5397717731770368,Raymond
159,4647887577284608-6424795004534784,Raymond
160,5668943775662080-5183908823957504,Raymond
161,5694510977777664-5692266857365504,Raymond
162,5159658700406784-6424795004534784,Raymond
163,5773318795821056-5481418859741184,Raymond
164,4677204956938240-5087932679454720,Raymond
165,4634076841508864-5799934976589824,Raymond
166,5509931671224320-6271635531235328,Raymond
167,5633267831144448-5144582157238272,Raymond
168,6592716280430592-5760458992648192,Raymond
169,5768308984905728-6401627682504704,Raymond
170,5735088218177536-5759978627399680,Raymond
171,6277454205288448-5151554298445824,Raymond
172,5204840548401152-5144582157238272,Raymond
173,6026208751910912-4900308845068288,Raymond
174,6362777824264192-5686758561808384,Raymond
175,4819146042769408-5116770096513024,Raymond
176,5203769893584896-5766719847006208,Raymond
177,4853127958233088-6050043001831424,Raymond
178,5075253063581696-5209171217612800,Raymond
179,5153826940125184-5716776893546496,Raymond
180,4829222975569920-5799934976589824,Raymond
181,5910194705924096-6018067104530432,Raymond
182,5554528195706880-5144582157238272,Raymond
183,4763561783984128-4714702236024832,Raymond
184,4648789386199040-6151540461010944,Raymond
185,6041933969358848-5760458992648192,Raymond
186,5388069221957632-6151540461010944,Raymond
187,5643795601293312-4900308845068288,Raymond
188,5588590507589632-6151540461010944,Raymond
189,6195440194158592-5069540287315968,Raymond
190,6535310955511808-4714702236024832,Raymond
191,5174421174091776-4717024336936960,Raymond
192,6557175493165056-6520174349910016,Raymond
193,new8,Raymond
194,6259860341522432-5133960434679808,Raymond
195,6242670003355648-5116770096513024,Raymond
196,5759330355773440-5397717731770368,Raymond
197,5759522421342208-5720147234914304,Raymond
198,5743076320477184-5662685806985216,Raymond
199,5188066150973440-5751016104394752,Raymond
200,new37,Raymond
201,5704712129085440-5130947448012800,Raymond
202,6307683728621568-5116770096513024,Raymond
203,4845106502828032-5644164767154176,Raymond
204,5711166055645184-5651351119855616,Raymond
205,new24,Raymond
206,4782663852359680-5151554298445824,Raymond
207,5159582733172736-5722532686594048,Raymond
208,5014952528052224-6422327411605504,Raymond
209,new42,Raymond
210,6508671420858368-6424795004534784,Raymond
211,5167824104325120-5730774057746432,Raymond
212,5734792670740480-5651351119855616,Raymond
213,5728306397708288-5644164767154176,Raymond
214,5634536859762688-5716776893546496,Raymond
215,new23,Raymond
216,5167470977482752-5397717731770368,Raymond
217,5089547050287104-5652497003708416,Raymond
218,5857857039761408-6422327411605504,Raymond
219,6115412940947456-5751016104394752,Raymond
220,6514554183876608-5716776893546496,Raymond
221,6270482064080896-5144582157238272,Raymond
222,new25,Raymond
223,5987675513290752-4861775606448128,Raymond
224,4867082978066432-4900308845068288,Raymond
225,5487093048410112-6050043001831424,Raymond
226,4734559077793792-6018067104530432,Raymond
227,5123808608387072-5686758561808384,Raymond
228,6256847354855424-5130947448012800,Raymond
229,5126237211066368-5689187164487680,Raymond
230,4891313438720000-5686758561808384,Raymond
231,6270000692199424-5144100785356800,Raymond
232,5831902820827136-6018067104530432,Raymond
233,5113956490280960-5662685806985216,Raymond
234,5187733693661184-5760458992648192,Raymond
235,5658591025430528-5072753191288832,Raymond
236,6403552096288768-4714702236024832,Raymond
237,6036293335121920-4900308845068288,Raymond
238,6730027324407808-5900714236706816,Raymond
239,5197509039226880-5760458992648192,Raymond
240,5434612775911424-5997562729332736,Raymond
241,5862226900549632-4843735535845376,Raymond
242,5199943883030528-5759978627399680,Raymond
243,4878041721339904-6401627682504704,Raymond
244,6084969608773632-4959069701931008,Raymond
245,5197059141402624-6422327411605504,Raymond
246,4546923499356160-6422327411605504,Raymond
247,4725076461092864-5900714236706816,Raymond
248,4947758838448128-5116770096513024,Raymond
249,6619863694966784-6422327411605504,Raymond
250,5842924243779584-4717024336936960,Raymond
251,5165576628469760-5647053199769600,Raymond
252,5081879929683968-5760458992648192,Raymond
253,4839866374291456-5747895475109888,Raymond
254,6308139532025856-5730774057746432,Raymond
255,4952549471813632-5751016104394752,Raymond
256,5639726119780352-4900308845068288,Raymond
257,6605829956435968-5997562729332736,Raymond
258,5965785272942592-6151540461010944,Raymond
259,6237484904087552-6151540461010944,Raymond
260,4628779133566976-6422327411605504,Raymond
261,6195858886361088-5133960434679808,Raymond
262,5175936492240896-5738886445662208,Beton
263,6265300991344640-5639274879778816,Beton
264,5967045845843968-5738886445662208,Beton
265,podossd,Beton
266,5076324926357504-5639274879778816,Beton
267,5087608610750464-5650558564171776,Beton
268,5139401084502016-5702351037923328,Beton
269,5080751427026944-5738886445662208,Beton
270,4559479634919424-6388057666224128,Ajeng
271,4980682782670848-6388057666224128,Ajeng
272,4920506750861312-5128666635829248,Ajeng
273,4781794926788608-6611382275407872,Ajeng
274,6435288482054144-5309388575211520,Ajeng
275,5968093314547712-4842193407705088,Ajeng
276,5477755135197184-5171257679020032,Ajeng
277,5989798904856576-4863898998013952,Ajeng
278,5117880110678016-5680830064099328,Ajeng
279,6197714245124096-5071814338281472,Ajeng
280,6129726892539904-5003826985697280,Ajeng
281,6256280586944512-5130380680101888,Ajeng
282,5647476354711552-5744357932007424,Ajeng
283,5194138362314752-5757088315736064,Ajeng
284,4936575297257472-6334509842694144,Ajeng
285,5164747582341120-5041477725978624,Ajeng
286,5173619793592320-5695733197963264,Ajeng
287,5755348820426752-4558021459968000,Ajeng
288,5204256265076736-5767206218498048,Ajeng
289,4906133860909056-6313508744462336,Ajeng
290,6306970512392192-5744020558970880,Ajeng
291,5169610710056960-5732560663478272,Ajeng
292,4824379963736064-6231754847289344,Ajeng
293,5161826484486144-5724776437907456,Ajeng
294,4867176360050688-6274551243603968,Ajeng
295,5683921366810624-4558021459968000,Ajeng
296,5917919238160384-4792019331317760,Ajeng
297,6294333963632640-5638949334679552,Ajeng
298,5762617113051136-5082384487677952,Ajeng
299,5240066813198336-5803016766619648,Ajeng
300,6256923724742656-5131023817900032,Ajeng
301,5089451587928064-5652401541349376,Ajeng
302,5753776761733120-5659553769193472,Ajeng
303,5132654663958528-5695604617379840,Ajeng
304,5198183281983488-5646053881675776,Ajeng
305,5806634756472832-4680734849630208,Ajeng
306,6564709838880768-5705772214255616,Ajeng
307,6309763465871360-5695604617379840,Ajeng
308,6375072906346496-5249172999503872,Ajeng
309,4787051731877888-5767206218498048,Ajeng
310,5682274280407040-5131023817900032,Ajeng
311,5113269597503488-5737628993323008,Ajeng
312,5069586592432128-5632536545853440,Ajeng
313,5159822613807104-6243780017520640,Ajeng
314,4892489085353984-5724776437907456,Ajeng
315,5165704235974656-5728654189395968,Ajeng
316,6581573189107712-5455673282265088,Ajeng
317,6230863977119744-5756690997706752,Ajeng
318,5695540528414720-5861022397104128,Ajeng
319,6262128587571200-5699178634149888,Ajeng
320,6254350267580416-5649842210603008,Ajeng
321,4876202602921984-6488903766769664,Ajeng
322,5994043674722304-4868143767879680,Ajeng
323,5781754312916992-5757088315736064,Ajeng
324,6037536157728768-5699178634149888,Ajeng
325,5671563168841728-5630962842992640,Ajeng
326,5679960232558592-4898243972431872,Ajeng
327,6540327577976832-5414427671134208,Ajeng
328,5128987701411840-5691937654833152,Ajeng
329,4832211299729408-5649702489948160,Ajeng
330,6443117704118272-4909968998268928,Ajeng
331,5967676685942784-6249151662653440,Ajeng
332,5763011780280320-5711523712335872,Ajeng
333,5195542179086336-5758492132507648,Ajeng
334,5759959635591168-5632536545853440,Ajeng
335,5759803439710208-4909968998268928,Ajeng
336,5196468600176640-5759418553597952,Ajeng
337,6515847656898560-6249151662653440,Ajeng
338,5191855050326016-5754805003747328,Ajeng
339,4898810069254144-6306184952807424,Ajeng
340,5177101602783232-5740051556204544,Ajeng
341,5174679039901696-5737628993323008,Ajeng
342,5176295424000000-5739245377421312,Ajeng
343,5736995921854464-5682446615969792,Ajeng
344,5735577727008768-5752010271883264,Ajeng
345,6167377632821248-5041477725978624,Ajeng
346,5187608837619712-5750558791041024,Ajeng
347,5189118854168576-5752068807589888,Ajeng
348,5189060318461952-5752010271883264,Ajeng
349,5184163166552064-5747113119973376,Ajeng
350,4872745053585408-5861022397104128,Ajeng
351,5181407978586112-5744357932007424,Ajeng
352,6413215739150336-5287315832307712,Ajeng
353,5148651336761344-5711601290182656,Ajeng
354,5148573758914560-5711523712335872,Ajeng
355,4690030031273984-6519617379893248,Ajeng
356,4844527521103872-5126002497814528,Ajeng
357,5129111383048192-6313508744462336,Ajeng
358,6199394214871040-5073494308028416,Ajeng
359,5913066998857728-4787167092015104,Ajeng
360,6311345473454080-5635248901586944,Ajeng
361,4871514478346240-5737628993323008,Ajeng
362,5634568702918656-5657692806840320,Ajeng
363,4910152742338560-5652086867886080,Ajeng
364,5072298948165632-5635248901586944,Ajeng
365,5073713686904832-5636663640326144,Ajeng
366,5074474164551680-5637424117972992,Ajeng
367,5107850221191168-5670800174612480,Ajeng
368,5129295932424192-5655498145660928,Ajeng
369,5068012889571328-5630962842992640,Ajeng
370,6035868905111552-4909968998268928,Ajeng
371,6208284394520576-5082384487677952,Ajeng
372,5083103928254464-5646053881675776,Ajeng
373,4606828327469056-6647521908621312,Ajeng
374,5997746372739072-4871846465896448,Ajeng
375,5075999381258240-5638949334679552,Ajeng
376,6329166584610816-5203266677768192,Ajeng
377,6024143879274496-4898243972431872,Ajeng
378,5092678987415552-5655628940836864,Ajeng
379,5092548192239616-5655498145660928,Ajeng
380,5086271701516288-5649221654937600,Ajeng
381,4743610687815680-5203266677768192,Ajeng
382,5202627046408192-6249151662653440,Ajeng
383,5095794382209024-5658744335630336,Ajeng
